lat,lon,k2,k3,k4,k5,k6
37.7725405392,-122.466204668,0.0,2.0,2.0,2.0,2.0
37.7754207067,-122.403404791,1.0,1.0,0.0,0.0,5.0
37.7864394525,-122.409660752,1.0,1.0,0.0,0.0,5.0
37.7578801214,-122.417955822,0.0,0.0,1.0,1.0,1.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7578884408,-122.417817853,0.0,0.0,1.0,1.0,1.0
37.7833104067,-122.388379874,1.0,1.0,0.0,0.0,5.0
37.7833104067,-122.388379874,1.0,1.0,0.0,0.0,5.0
37.7833104067,-122.388379874,1.0,1.0,0.0,0.0,5.0
37.7833104067,-122.388379874,1.0,1.0,0.0,0.0,5.0
37.7833104067,-122.388379874,1.0,1.0,0.0,0.0,5.0
37.7833104067,-122.388379874,1.0,1.0,0.0,0.0,5.0
37.7754207067,-122.403404791,1.0,1.0,0.0,0.0,5.0
37.7754207067,-122.403404791,1.0,1.0,0.0,0.0,5.0
37.7833104067,-122.388379874,1.0,1.0,0.0,0.0,5.0
37.7833104067,-122.388379874,1.0,1.0,0.0,0.0,5.0
37.7833104067,-122.388379874,1.0,1.0,0.0,0.0,5.0
37.7833104067,-122.388379874,1.0,1.0,0.0,0.0,5.0
37.790463178,-122.405941469,1.0,1.0,0.0,0.0,5.0
37.7899019823,-122.407114491,1.0,1.0,0.0,0.0,5.0
37.7859988324,-122.411747372,1.0,1.0,0.0,0.0,0.0
37.7859342572,-122.426508142,1.0,1.0,0.0,3.0,0.0
37.7808757917,-122.470190416,1.0,2.0,2.0,2.0,2.0
37.7769551138,-122.417997608,1.0,1.0,0.0,3.0,0.0
37.7513339692,-122.478349616,0.0,2.0,2.0,2.0,2.0
37.7588312135,-122.415781282,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7812550935,-122.458860616,1.0,1.0,2.0,2.0,2.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
